# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	1257
#@/user_id	579a2238-8d25-4c25-b893-3be8d0bff1ed
a 	啊	c=7 d=4.12363 t=1257
hai zai jian 	還在建	c=1 d=0.763379 t=1257
hai zhen shi 	還真是	c=0 d=0.0479505 t=1257
han shu 	函數	c=1 d=1.02892 t=1257
han shu zhi zhen 	函數指針	c=1 d=0.923116 t=1257
hao 	好	c=2 d=1.44 t=1257
hao 	號	c=3 d=2.42013 t=1257
hao ji ge 	好幾個	c=1 d=0.666977 t=1257
hao jiu 	好久	c=1 d=1.06948 t=1257
hao jiu le 	好久了	c=1 d=0.960789 t=1257
hao kan 	好看	c=0 d=0.0774916 t=1257
hao le 	好了	c=2 d=1.80977 t=1257
hao shi 	好事	c=0 d=0.0995012 t=1257
hao xiang 	好像	c=5 d=4.62845 t=1257
hao xiang mei you 	好像沒有	c=1 d=0.585669 t=1257
hao xiang que shi 	好像缺失	c=1 d=0.99005 t=1257
hao xiang shi 	好象是	c=1 d=0.965605 t=1257
hao xiang ye 	好像也	c=1 d=0.985112 t=1257
he 	和	c=8 d=5.04027 t=1257
he ge 	合格	c=1 d=0.856415 t=1257
he ning 	賀寧	c=1 d=0.980199 t=1257
hen bu 	很不	c=0 d=0.0913931 t=1257
hen bu kao pu 	很不靠譜	c=1 d=0.918512 t=1257
hen cha 	很差	c=1 d=0.970446 t=1257
hen gao 	很高	c=1 d=0.726149 t=1257
hen zhong 	很重	c=1 d=1 t=1257
hong lou 	紅樓	c=1 d=0.995012 t=1257
hou duan 	後端	c=1 d=0.941765 t=1257
hou mian 	後面	c=0 d=0.0913931 t=1257
hou mian de 	後面的	c=1 d=0.918512 t=1257
hu 	湖	c=1 d=0.918512 t=1257
hu bian 	湖邊	c=1 d=0.980199 t=1257
hu xiang 	互相	c=1 d=0.891366 t=1257
hua 	話	c=0 d=0.0955997 t=1257
huai le 	壞了	c=2 d=1.5714 t=1257
huan 	換	c=1 d=0.927743 t=1257
huan cheng 	換成	c=4 d=2.66656 t=1257
huan ge 	換個	c=1 d=0.748264 t=1257
huan jing 	環境	c=1 d=0.831104 t=1257
huan jing bian liang 	環境變量	c=1 d=0.99005 t=1257
huan jiu 	換就	c=1 d=0.923116 t=1257
huan xiang 	幻想	c=1 d=0.882497 t=1257
huan ying jia ru 	歡迎加入	c=1 d=0.951229 t=1257
hui 	會	c=0 d=0.0932394 t=1257
hui ba 	會把	c=2 d=1.93635 t=1257
hui bang ni 	會幫你	c=1 d=0.937067 t=1257
hui tui 	回退	c=1 d=0.904837 t=1257
hui zha 	會炸	c=1 d=0.98204 t=1257
huo zhe 	或者	c=1 d=0.83527 t=1257
ji 	姬	c=1 d=0.995012 t=1257
ji 	級	c=1 d=1 t=1257
ji 	集	c=1 d=1 t=1257
ji 	雞	c=1 d=1 t=1257
ji ben 	基本	c=1 d=0.995209 t=1257
ji ben dou shi 	基本都是	c=1 d=0.786628 t=1257
ji cheng 	集成	c=1 d=0.718924 t=1257
ji cheng du 	集成度	c=1 d=0.722527 t=1257
ji ge 	幾個	c=1 d=0.955997 t=1257
ji shu 	技術	c=1 d=1 t=1257
ji xie 	機械	c=0 d=0.0937067 t=1257
ji xie jian pan 	機械鍵盤	c=1 d=0.941765 t=1257
ji zhu 	記住	c=1 d=0.909373 t=1257
jia ban 	加班	c=1 d=0.895834 t=1257
jia de 	加的	c=1 d=0.831104 t=1257
jia zhuang 	假裝	c=0 d=0.0951229 t=1257
jia zhuang yong guo 	假裝用過	c=1 d=0.955997 t=1257
jian 	建	c=0 d=0.0759572 t=1257
jian hao 	建好	c=1 d=0.810584 t=1257
jian hua 	簡化	c=3 d=2.52456 t=1257
jian pan 	鍵盤	c=0 d=0.0937067 t=1257
jian ting 	監聽	c=1 d=0.985112 t=1257
jian yi 	建議	c=1 d=0.995012 t=1257
jian zhan 	建站	c=0 d=0.0694197 t=1257
jiang dao li 	講道理	c=1 d=0.88692 t=1257
jie guo shi 	結果是	c=0 d=0.0763379 t=1257
jie mian 	界面	c=1 d=0.980199 t=1257
jie shou 	接收	c=1 d=0.951229 t=1257
jie xi 	解析	c=1 d=0.985112 t=1257
jin 	進	c=0 d=0.0995012 t=1257
jin qu 	進去	c=1 d=0.937067 t=1257
jin tian 	今天	c=1 d=0.522046 t=1257
jiu 	就	c=3 d=1.94725 t=1257
jiu ba 	就把	c=0 d=0.0980199 t=1257
jiu bie 	就別	c=0 d=0.0818731 t=1257
jiu bie chu 	就別出	c=1 d=0.822835 t=1257
jiu bu 	就不	c=0 d=0.0891366 t=1257
jiu bu zhuang 	就不裝	c=1 d=0.895834 t=1257
jiu de 	舊的	c=1 d=0.970446 t=1257
jiu hui 	就會	c=2 d=1.87897 t=1257
jiu pao tong le 	就跑通了	c=1 d=0.565525 t=1257
jiu shi 	就是	c=5 d=3.29127 t=1257
jiu shi ge 	就是個	c=1 d=0.786628 t=1257
jiu xing 	就行	c=3 d=2.24997 t=1257
jiu yi zhi 	就一直	c=1 d=0.810584 t=1257
jiu zai 	就在	c=2 d=1.73558 t=1257
jiu zhe yang 	就這樣	c=1 d=0.778801 t=1257
ju ran 	居然	c=1 d=1.02724 t=1257
ju ran bu shi 	居然不是	c=1 d=1 t=1257
ju ran you 	居然有	c=1 d=0.941765 t=1257
ka 	卡	c=1 d=1.05414 t=1257
ka si 	卡死	c=1 d=0.995012 t=1257
ka zhu 	卡住	c=1 d=0.951229 t=1257
kai de 	開得	c=0 d=0.0909373 t=1257
kai fa 	開發	c=1 d=1 t=1257
kai fa sha 	開發啥	c=1 d=0.744532 t=1257
kai guan 	開關	c=1 d=0.970446 t=1257
kai ji 	開機	c=0 d=0.0980199 t=1257
kai ji le 	開機了	c=1 d=0.985112 t=1257
kai shi 	開始	c=2 d=1.41611 t=1257
kai yuan 	開源	c=1 d=0.951229 t=1257
kan 	看	c=2 d=1.90415 t=1257
kan dao 	看到	c=0 d=0.0843665 t=1257
kan jian 	看見	c=0 d=0.0786628 t=1257
kan kan 	看看	c=1 d=1.02315 t=1257
kan lai kan qu 	看來看去	c=1 d=0.97531 t=1257
kan le 	看了	c=0 d=0.0965605 t=1257
kan qi lai 	看起來	c=3 d=2.76065 t=1257
kan xia lai 	看下來	c=1 d=0.932394 t=1257
kao pu 	靠譜	c=0 d=0.0913931 t=1257
ke neng 	可能	c=2 d=1.83554 t=1257
ke neng hai zhen shi 	可能還真是	c=1 d=0.481909 t=1257
ke pa 	可怕	c=1 d=0.97531 t=1257
ke yi 	可以	c=4 d=2.81278 t=1257
ke yi kao lv 	可以考慮	c=1 d=0.822835 t=1257
ke yi shan diao le 	可以刪掉了	c=1 d=0.965605 t=1257
ken ding shi 	肯定是	c=1 d=0.946485 t=1257
keng 	坑	c=1 d=0.955997 t=1257
ku 	庫	c=1 d=0.99005 t=1257
kuai 	塊	c=0 d=0.0985112 t=1257
kuai jin 	快進	c=1 d=0.995012 t=1257
kuai su 	快速	c=0 d=0.139537 t=1257
kuai su gao 	快速搞	c=1 d=0.704688 t=1257
kuai su jian zhan 	快速建站	c=1 d=0.697676 t=1257
kuai suo 	塊梭	c=1 d=0.701173 t=1257
la 	辣	c=1 d=0.995012 t=1257
lai 	來	c=1 d=0.970446 t=1257
lai 	瀨	c=2 d=1.9605 t=1257
lai zi 	來自	c=1 d=0.918512 t=1257
le 	了	c=25 d=10.8038 t=1257
lei xing 	類型	c=0 d=0.0726149 t=1257
lei xing de 	類型的	c=1 d=0.729789 t=1257
lei yu 	雷雨	c=0 d=0.0946485 t=1257
li 	裏	c=8 d=6.4144 t=1257
li 	離	c=1 d=0.951229 t=1257
li mian 	裏面	c=2 d=1.49027 t=1257
li zi 	例子	c=1 d=0.995012 t=1257
lia 	倆	c=1 d=0.810584 t=1257
lian 	戀	c=1 d=0.985112 t=1257
lian jie 	鏈接	c=1 d=1.07743 t=1257
lian jie qi 	連接器	c=1 d=0.980199 t=1257
liang ge 	兩個	c=2 d=1.95072 t=1257
ling guan 	靈官	c=0 d=0.099005 t=1257
liu chang 	流暢	c=1 d=0.932394 t=1257
liu da 	溜達	c=1 d=0.88692 t=1257
liu mang ruan jian 	流氓軟件	c=1 d=0.774916 t=1257
luan ma 	亂馬	c=3 d=2.95536 t=1257
luo sai 	羅賽	c=1 d=1 t=1257
ma 	嗎	c=20 d=10.7525 t=1257
ma fan 	麻煩	c=1 d=0.937067 t=1257
ma shang 	馬上	c=1 d=0.965605 t=1257
mai 	買	c=0 d=0.0865022 t=1257
mai bu qi 	買不起	c=1 d=0.852144 t=1257
mai lai 	買來	c=0 d=0.083527 t=1257
mai lai gan sha 	買來幹啥	c=1 d=0.839457 t=1257
mei 	沒	c=5 d=3.52578 t=1257
mei bi yao 	沒必要	c=1 d=0.927743 t=1257
mei guan xi 	沒關係	c=1 d=0.97531 t=1257
mei kai 	沒開	c=0 d=0.0955997 t=1257
mei kai xiang mu 	沒開項目	c=1 d=0.960789 t=1257
mei kan 	沒看	c=1 d=0.818731 t=1257
mei kan dong 	沒看動	c=1 d=0.970446 t=1257
mei kan jian 	沒看見	c=1 d=0.790571 t=1257
mei mian fei 	沒免費	c=1 d=0.985112 t=1257
mei peng guo 	沒碰過	c=1 d=0.995012 t=1257
mei qian 	沒錢	c=0 d=0.0865022 t=1257
mei qian mai 	沒錢買	c=1 d=0.869358 t=1257
mei ren 	沒人	c=0 d=0.097531 t=1257
mei ren yong lai 	沒人用來	c=1 d=0.980199 t=1257
mei sha 	沒啥	c=0 d=0.202525 t=1257
mei sha hao kan de 	沒啥好看的	c=1 d=0.778801 t=1257
mei sha wen ti 	沒啥問題	c=1 d=0.995012 t=1257
mei sha yong 	沒啥用	c=3 d=2.67053 t=1257
mei shen me 	沒什麼	c=2 d=1.93181 t=1257
mei sheng yin 	沒聲音	c=1 d=0.985112 t=1257
mei shi 	沒事	c=1 d=0.891371 t=1257
mei shi 	沒試	c=1 d=0.932394 t=1257
mei shi le 	沒試了	c=1 d=0.946485 t=1257
mei tong 	沒通	c=1 d=0.99005 t=1257
mei yong 	沒用	c=1 d=0.99005 t=1257
mei yong guo 	沒用過	c=1 d=0.970446 t=1257
mei you 	沒有	c=7 d=4.77802 t=1257
mei zha 	沒炸	c=1 d=0.878095 t=1257
mian fei 	免費	c=0 d=0.188504 t=1257
mian fei le 	免費了	c=2 d=1.89942 t=1257
miao shu 	描述	c=0 d=0.0733447 t=1257
ming dian 	名點	c=1 d=0.909373 t=1257
ming ling hang 	命令行	c=2 d=1.98476 t=1257
ming xian 	明顯	c=1 d=0.913931 t=1257
ming zi 	名字	c=1 d=0.932394 t=1257
mo fa 	魔法	c=0 d=0.099005 t=1257
mo fa shao nv 	魔法少女	c=1 d=0.995012 t=1257
mo ren 	默認	c=2 d=1.62037 t=1257
mu hou 	幕後	c=1 d=0.960789 t=1257
mu qian 	目前	c=3 d=2.0319 t=1257
na 	那	c=1 d=1.05397 t=1257
na bu 	那不	c=0 d=0.0980199 t=1257
na bu jiu ba 	那不就把	c=1 d=0.985112 t=1257
na ge 	那個	c=3 d=2.55838 t=1257
na lai 	拿來	c=1 d=0.790571 t=1257
na me da 	那麼大	c=1 d=0.891366 t=1257
na shi 	那是	c=0 d=0.0826959 t=1257
na shi sha 	那是啥	c=1 d=0.831104 t=1257
na wan yi er 	那玩意兒	c=1 d=0.985112 t=1257
na wo 	那我	c=1 d=0.990867 t=1257
na wo mei zhu yi guo 	那我沒注意過	c=1 d=1 t=1257
na xie 	那些	c=1 d=0.873716 t=1257
nan 	難	c=1 d=0.748264 t=1257
nao zi 	腦子	c=0 d=0.0847894 t=1257
nao zi chou le 	腦子抽了	c=1 d=0.852144 t=1257
ne 	呢	c=0 d=0.0980199 t=1257
nei cun 	內存	c=1 d=0.970446 t=1257
nei he 	內核	c=2 d=1.8097 t=1257
neng 	能	c=3 d=2.01722 t=1257
neng fen kai 	能分開	c=1 d=0.960789 t=1257
neng kan 	能看	c=1 d=0.904837 t=1257
neng kan dao 	能看到	c=1 d=0.847894 t=1257
neng li 	能力	c=1 d=0.955997 t=1257
neng pao 	能跑	c=1 d=0.995012 t=1257
neng tiao 	能挑	c=1 d=0.995012 t=1257
neng wan 	能玩	c=1 d=0.923116 t=1257
neng yong 	能用	c=2 d=1.87045 t=1257
neng yong de 	能用的	c=1 d=0.932394 t=1257
neng yong jiu xing 	能用就行	c=1 d=0.771052 t=1257
ni 	你	c=2 d=1.59546 t=1257
ni men 	你們	c=2 d=1.53453 t=1257
ni qu 	你去	c=1 d=0.951229 t=1257
